TopicNumber,Topic,URL,Publication,Category,HeroImage,HeroFilename,HeroAltText,SectionImageCount,SectionImagePaths,Uniqueness,Format,QAStatus
98,"Image Version Management","/features/image-version-management",published,asset-management,"/images/topics/image-version-management/image-version-management-hero.webp","image-version-management-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/image-version-management/image-version-management-one-structured-record-for-each.webp; /images/topics/image-version-management/image-version-management-a-hero-product-shot-through-a-.webp",verified-unique,webp,passed
99,"Document Version Management","/features/document-version-management",published,asset-management,"/images/topics/document-version-management/document-version-management-hero.webp","document-version-management-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/document-version-management/document-version-management-decks-and-documents-that-chang.webp; /images/topics/document-version-management/document-version-management-what-surrounds-each-new-editio.webp",verified-unique,webp,passed
100,"Creative Revision Tracking","/features/creative-revision-tracking",published,asset-management,"/images/topics/creative-revision-tracking/creative-revision-tracking-hero.webp","creative-revision-tracking-hero.webp","Illustrative photograph of creative files being organised in an archive",3,"/images/topics/creative-revision-tracking/creative-revision-tracking-knowing-what-changed-and-which.webp; /images/topics/creative-revision-tracking/creative-revision-tracking-the-records-that-help-a-team-r.webp; /images/topics/creative-revision-tracking/creative-revision-tracking-similar-banners-and-a-client-w.webp",verified-unique,webp,passed
101,"Asset Lifecycle Management","/features/asset-lifecycle-management",published,asset-management,"/images/topics/asset-lifecycle-management/asset-lifecycle-management-hero.webp","asset-lifecycle-management-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/asset-lifecycle-management/asset-lifecycle-management-managing-an-asset-from-its-fir.webp",verified-unique,webp,passed
102,"Asset Status Management","/features/asset-status-management",published,asset-management,"/images/topics/asset-status-management/asset-status-management-hero.webp","asset-status-management-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-status-management/asset-status-management-telling-a-draft-from-approved-.webp; /images/topics/asset-status-management/asset-status-management-a-seasonal-flyer-that-nearly-w.webp",verified-unique,webp,passed
103,"Approved Asset Library","/features/approved-asset-library",published,asset-management,"/images/topics/approved-asset-library/approved-asset-library-hero.webp","approved-asset-library-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/approved-asset-library/approved-asset-library-a-view-of-the-library-where-ev.webp",verified-unique,webp,passed
104,"Expiring Creative Assets","/features/expiring-creative-assets",published,asset-management,"/images/topics/expiring-creative-assets/expiring-creative-assets-hero.webp","expiring-creative-assets-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/expiring-creative-assets/expiring-creative-assets-knowing-when-content-should-st.webp",verified-unique,webp,passed
105,"Brand Guardrail Tags","/features/brand-guardrail-tags",published,asset-management,"/images/topics/brand-guardrail-tags/brand-guardrail-tags-hero.webp","brand-guardrail-tags-hero.webp","Illustrative photograph of creative files being organised in an archive",3,"/images/topics/brand-guardrail-tags/brand-guardrail-tags-tags-that-show-an-asset-meets-.webp; /images/topics/brand-guardrail-tags/brand-guardrail-tags-what-a-structured-taxonomy-bri.webp; /images/topics/brand-guardrail-tags/brand-guardrail-tags-a-guardrail-tag-for-a-market-w.webp",verified-unique,webp,passed
106,"Asset Usage Tracking","/features/asset-usage-tracking",published,asset-management,"/images/topics/asset-usage-tracking/asset-usage-tracking-hero.webp","asset-usage-tracking-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-usage-tracking/asset-usage-tracking-using-activity-and-inactivity-.webp; /images/topics/asset-usage-tracking/asset-usage-tracking-new-packaging-photography-that.webp",verified-unique,webp,passed
107,"Creative Asset Lifecycle","/features/creative-asset-lifecycle",published,asset-management,"/images/topics/creative-asset-lifecycle/creative-asset-lifecycle-hero.webp","creative-asset-lifecycle-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/creative-asset-lifecycle/creative-asset-lifecycle-seven-stages-between-a-new-fil.webp",verified-unique,webp,passed
108,"Asset Archiving","/features/asset-archiving",published,asset-management,"/images/topics/asset-archiving/asset-archiving-hero.webp","asset-archiving-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-archiving/asset-archiving-keeping-the-past-without-letti.webp; /images/topics/asset-archiving/asset-archiving-recruitment-campaigns-kept-out.webp",verified-unique,webp,passed
109,"Asset Deletion","/features/asset-deletion",published,asset-management,"/images/topics/asset-deletion/asset-deletion-hero.webp","asset-deletion-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/asset-deletion/asset-deletion-removing-assets-with-authority.webp",verified-unique,webp,passed
110,"Asset Recovery","/features/asset-recovery",published,asset-management,"/images/topics/asset-recovery/asset-recovery-hero.webp","asset-recovery-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-recovery/asset-recovery-getting-content-back-after-a-r.webp; /images/topics/asset-recovery/asset-recovery-what-reduces-the-need-for-reco.webp",verified-unique,webp,passed
111,"Creative Library Maintenance","/features/creative-library-maintenance",published,asset-management,"/images/topics/creative-library-maintenance/creative-library-maintenance-hero.webp","creative-library-maintenance-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/creative-library-maintenance/creative-library-maintenance-small-regular-care-instead-of-.webp; /images/topics/creative-library-maintenance/creative-library-maintenance-moments-when-a-little-maintena.webp",verified-unique,webp,passed
112,"Duplicate Asset Management","/features/duplicate-asset-management",published,asset-management,"/images/topics/duplicate-asset-management/duplicate-asset-management-hero.webp","duplicate-asset-management-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/duplicate-asset-management/duplicate-asset-management-finding-the-copies-a-library-d.webp",verified-unique,webp,passed
113,"Asset Quality Management","/features/asset-quality-management",published,asset-management,"/images/topics/asset-quality-management/asset-quality-management-hero.webp","asset-quality-management-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/asset-quality-management/asset-quality-management-a-library-people-can-trust-to-.webp",verified-unique,webp,passed
114,"Creative Asset Governance","/features/creative-asset-governance",published,asset-management,"/images/topics/creative-asset-governance/creative-asset-governance-hero.webp","creative-asset-governance-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/creative-asset-governance/creative-asset-governance-deciding-who-can-do-what-with-.webp; /images/topics/creative-asset-governance/creative-asset-governance-regional-teams-given-the-right.webp",verified-unique,webp,passed
115,"Asset Ownership","/features/asset-ownership",published,asset-management,"/images/topics/asset-ownership/asset-ownership-hero.webp","asset-ownership-hero.webp","Illustrative photograph of creative files being organised in an archive",3,"/images/topics/asset-ownership/asset-ownership-knowing-where-an-asset-came-fr.webp; /images/topics/asset-ownership/asset-ownership-a-designer-changes-role-withou.webp; /images/topics/asset-ownership/asset-ownership-everyday-questions-that-start-.webp",verified-unique,webp,passed
116,"Asset Attribution","/features/asset-attribution",published,asset-management,"/images/topics/asset-attribution/asset-attribution-hero.webp","asset-attribution-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-attribution/asset-attribution-keeping-the-people-behind-the-.webp; /images/topics/asset-attribution/asset-attribution-a-campaigns-credits-assembled-.webp",verified-unique,webp,passed
117,"Asset History","/features/asset-history",published,asset-management,"/images/topics/asset-history/asset-history-hero.webp","asset-history-hero.webp","Illustrative photograph of creative files being organised in an archive",2,"/images/topics/asset-history/asset-history-one-record-of-what-has-happene.webp; /images/topics/asset-history/asset-history-posters-printed-with-an-old-pr.webp",verified-unique,webp,passed
118,"Asset Activity","/features/asset-activity",published,asset-management,"/images/topics/asset-activity/asset-activity-hero.webp","asset-activity-hero.webp","Illustrative photograph of creative files being organised in an archive",3,"/images/topics/asset-activity/asset-activity-what-an-assets-activity-says-a.webp; /images/topics/asset-activity/asset-activity-what-each-kind-of-activity-tel.webp; /images/topics/asset-activity/asset-activity-a-new-product-overview-that-sa.webp",verified-unique,webp,passed
119,"Asset Audit Trail","/features/asset-audit-trail",published,asset-management,"/images/topics/asset-audit-trail/asset-audit-trail-hero.webp","asset-audit-trail-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/asset-audit-trail/asset-audit-trail-seeing-the-important-actions-t.webp",verified-unique,webp,passed
120,"Complete Asset Management","/features/complete-asset-management",published,asset-management,"/images/topics/complete-asset-management/complete-asset-management-hero.webp","complete-asset-management-hero.webp","Illustrative photograph of creative files being organised in an archive",1,"/images/topics/complete-asset-management/complete-asset-management-seven-capabilities-working-on-.webp",verified-unique,webp,passed
121,"Automated Asset Ingestion","/storage/automated-asset-ingestion",published,storage-ingestion,"/images/topics/automated-asset-ingestion/automated-asset-ingestion-hero.webp","automated-asset-ingestion-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/automated-asset-ingestion/automated-asset-ingestion-assets-arrive-from-where-they-.webp; /images/topics/automated-asset-ingestion/automated-asset-ingestion-the-route-an-asset-takes-from-.webp",verified-unique,webp,passed
122,"Google Drive Integration","/storage/google-drive",held,storage-ingestion,"/images/topics/google-drive-integration/google-drive-integration-hero.webp","google-drive-integration-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/google-drive-integration/google-drive-integration-creative-work-from-the-drive-e.webp; /images/topics/google-drive-integration/google-drive-integration-from-a-connected-drive-to-an-a.webp",verified-unique,webp,passed
123,"Dropbox Integration","/storage/dropbox",held,storage-ingestion,"/images/topics/dropbox-integration/dropbox-integration-hero.webp","dropbox-integration-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/dropbox-integration/dropbox-integration-deliveries-and-job-folders-cen.webp; /images/topics/dropbox-integration/dropbox-integration-years-of-supplier-deliveries-t.webp",verified-unique,webp,passed
124,"OneDrive Integration","/storage/onedrive",held,storage-ingestion,"/images/topics/onedrive-integration/onedrive-integration-hero.webp","onedrive-integration-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/onedrive-integration/onedrive-integration-work-storage-as-one-more-sourc.webp; /images/topics/onedrive-integration/onedrive-integration-what-the-library-offers-materi.webp",verified-unique,webp,passed
125,"AWS S3 Integration","/storage/aws-s3",held,storage-ingestion,"/images/topics/aws-s3-integration/aws-s3-integration-hero.webp","aws-s3-integration-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/aws-s3-integration/aws-s3-integration-large-media-collections-in-obj.webp",verified-unique,webp,passed
126,"Local NAS Integration","/storage/local-nas",held,storage-ingestion,"/images/topics/local-nas-integration/local-nas-integration-hero.webp","local-nas-integration-hero.webp","Illustrative photograph of media files arriving in a central library",3,"/images/topics/local-nas-integration/local-nas-integration-work-on-the-studio-network-bro.webp; /images/topics/local-nas-integration/local-nas-integration-what-a-searchable-workflow-off.webp; /images/topics/local-nas-integration/local-nas-integration-a-post-production-studio-opens.webp",verified-unique,webp,passed
127,"Drag and Drop Upload","/storage/drag-and-drop-upload",published,storage-ingestion,"/images/topics/drag-and-drop-upload/drag-and-drop-upload-hero.webp","drag-and-drop-upload-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/drag-and-drop-upload/drag-and-drop-upload-the-shortest-route-from-a-desk.webp",verified-unique,webp,passed
128,"Watch Folder Ingestion","/storage/watch-folder-ingestion",published,storage-ingestion,"/images/topics/watch-folder-ingestion/watch-folder-ingestion-hero.webp","watch-folder-ingestion-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/watch-folder-ingestion/watch-folder-ingestion-a-location-the-library-keeps-c.webp; /images/topics/watch-folder-ingestion/watch-folder-ingestion-a-print-archive-digitised-with.webp",verified-unique,webp,passed
129,"Automated Media Import","/storage/automated-media-import",published,storage-ingestion,"/images/topics/automated-media-import/automated-media-import-hero.webp","automated-media-import-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/automated-media-import/automated-media-import-fewer-hands-carrying-files-bet.webp",verified-unique,webp,passed
130,"Bulk Asset Import","/storage/bulk-asset-import",published,storage-ingestion,"/images/topics/bulk-asset-import/bulk-asset-import-hero.webp","bulk-asset-import-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/bulk-asset-import/bulk-asset-import-an-existing-collection-brought.webp",verified-unique,webp,passed
131,"Large Library Migration","/storage/large-library-migration",published,storage-ingestion,"/images/topics/large-library-migration/large-library-migration-hero.webp","large-library-migration-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/large-library-migration/large-library-migration-scale-changes-what-a-migration.webp; /images/topics/large-library-migration/large-library-migration-moving-a-large-library-in-mana.webp",verified-unique,webp,passed
132,"Metadata Preservation","/storage/metadata-preservation",published,storage-ingestion,"/images/topics/metadata-preservation/metadata-preservation-hero.webp","metadata-preservation-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/metadata-preservation/metadata-preservation-what-a-file-knows-about-itself.webp",verified-unique,webp,passed
133,"Folder Mapping","/storage/folder-mapping",published,storage-ingestion,"/images/topics/folder-mapping/folder-mapping-hero.webp","folder-mapping-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/folder-mapping/folder-mapping-deciding-where-imported-folder.webp",verified-unique,webp,passed
134,"Creative Migration","/storage/creative-migration",published,storage-ingestion,"/images/topics/creative-migration/creative-migration-hero.webp","creative-migration-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/creative-migration/creative-migration-leaving-storage-that-grew-in-p.webp",verified-unique,webp,passed
135,"Digital Asset Import","/storage/digital-asset-import",published,storage-ingestion,"/images/topics/digital-asset-import/digital-asset-import-hero.webp","digital-asset-import-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/digital-asset-import/digital-asset-import-more-than-one-way-in-and-a-rea.webp; /images/topics/digital-asset-import/digital-asset-import-a-library-assembled-one-route-.webp",verified-unique,webp,passed
136,"Media Upload Management","/storage/media-upload-management",published,storage-ingestion,"/images/topics/media-upload-management/media-upload-management-hero.webp","media-upload-management-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/media-upload-management/media-upload-management-uploads-a-team-can-see-and-rec.webp; /images/topics/media-upload-management/media-upload-management-what-surrounds-an-upload-from-.webp",verified-unique,webp,passed
137,"Resumable Uploads","/storage/resumable-uploads",published,storage-ingestion,"/images/topics/resumable-uploads/resumable-uploads-hero.webp","resumable-uploads-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/resumable-uploads/resumable-uploads-an-interruption-that-costs-a-p.webp",verified-unique,webp,passed
138,"Chunked Uploads","/storage/chunked-uploads",published,storage-ingestion,"/images/topics/chunked-uploads/chunked-uploads-hero.webp","chunked-uploads-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/chunked-uploads/chunked-uploads-large-files-moved-in-pieces-fo.webp; /images/topics/chunked-uploads/chunked-uploads-a-long-master-delivered-over-a.webp",verified-unique,webp,passed
139,"High-Volume Media Uploads","/storage/high-volume-media-uploads",published,storage-ingestion,"/images/topics/high-volume-media-uploads/high-volume-media-uploads-hero.webp","high-volume-media-uploads-hero.webp","Illustrative photograph of media files arriving in a central library",3,"/images/topics/high-volume-media-uploads/high-volume-media-uploads-when-the-amount-of-media-becom.webp; /images/topics/high-volume-media-uploads/high-volume-media-uploads-needs-that-grow-with-the-amoun.webp; /images/topics/high-volume-media-uploads/high-volume-media-uploads-an-agency-gets-ready-for-a-sea.webp",verified-unique,webp,passed
140,"10 GB File Uploads","/storage/10-gb-file-uploads",held,storage-ingestion,"/images/topics/10-gb-file-uploads/10-gb-file-uploads-hero.webp","10-gb-file-uploads-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/10-gb-file-uploads/10-gb-file-uploads-a-stated-file-size-for-the-hea.webp",verified-unique,webp,passed
141,"Upload Progress","/storage/upload-progress",published,storage-ingestion,"/images/topics/upload-progress/upload-progress-hero.webp","upload-progress-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/upload-progress/upload-progress-a-figure-that-shows-a-batch-is.webp; /images/topics/upload-progress/upload-progress-launch-photographs-sent-while-.webp",verified-unique,webp,passed
142,"Parallel Uploads","/storage/parallel-uploads",published,storage-ingestion,"/images/topics/parallel-uploads/parallel-uploads-hero.webp","parallel-uploads-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/parallel-uploads/parallel-uploads-several-files-in-transit-at-th.webp; /images/topics/parallel-uploads/parallel-uploads-where-a-batchs-time-goes-and-t.webp",verified-unique,webp,passed
143,"Asset Processing","/storage/asset-processing",published,storage-ingestion,"/images/topics/asset-processing/asset-processing-hero.webp","asset-processing-hero.webp","Illustrative photograph of media files arriving in a central library",3,"/images/topics/asset-processing/asset-processing-the-work-that-turns-an-upload-.webp; /images/topics/asset-processing/asset-processing-what-each-kind-of-processing-c.webp; /images/topics/asset-processing/asset-processing-why-some-uploads-arrived-bette.webp",verified-unique,webp,passed
144,"AI Processing Queue","/storage/ai-processing-queue",published,storage-ingestion,"/images/topics/ai-processing-queue/ai-processing-queue-hero.webp","ai-processing-queue-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/ai-processing-queue/ai-processing-queue-three-states-that-place-an-ass.webp; /images/topics/ai-processing-queue/ai-processing-queue-what-each-state-means-and-what.webp",verified-unique,webp,passed
145,"Media Processing Status","/storage/media-processing-status",published,storage-ingestion,"/images/topics/media-processing-status/media-processing-status-hero.webp","media-processing-status-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/media-processing-status/media-processing-status-arriving-is-one-milestone-and-.webp; /images/topics/media-processing-status/media-processing-status-a-launch-set-shared-once-every.webp",verified-unique,webp,passed
146,"Asset Thumbnail Generation","/storage/asset-thumbnail-generation",published,storage-ingestion,"/images/topics/asset-thumbnail-generation/asset-thumbnail-generation-hero.webp","asset-thumbnail-generation-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/asset-thumbnail-generation/asset-thumbnail-generation-the-lightest-way-to-see-what-a.webp",verified-unique,webp,passed
147,"Streaming Media Preview","/storage/streaming-media-preview",published,storage-ingestion,"/images/topics/streaming-media-preview/streaming-media-preview-hero.webp","streaming-media-preview-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/streaming-media-preview/streaming-media-preview-look-first-and-download-only-w.webp; /images/topics/streaming-media-preview/streaming-media-preview-a-partners-event-film-checked-.webp",verified-unique,webp,passed
148,"Creative Storage Management","/storage/creative-storage-management",published,storage-ingestion,"/images/topics/creative-storage-management/creative-storage-management-hero.webp","creative-storage-management-hero.webp","Illustrative photograph of media files arriving in a central library",2,"/images/topics/creative-storage-management/creative-storage-management-managing-storage-begins-with-t.webp; /images/topics/creative-storage-management/creative-storage-management-an-events-company-gives-each-k.webp",verified-unique,webp,passed
149,"Storage Growth Analytics","/storage/storage-growth-analytics",published,storage-ingestion,"/images/topics/storage-growth-analytics/storage-growth-analytics-hero.webp","storage-growth-analytics-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/storage-growth-analytics/storage-growth-analytics-the-pace-of-expansion-seen-in-.webp",verified-unique,webp,passed
150,"Centralised Media Storage","/storage/centralised-media-storage",published,storage-ingestion,"/images/topics/centralised-media-storage/centralised-media-storage-hero.webp","centralised-media-storage-hero.webp","Illustrative photograph of media files arriving in a central library",1,"/images/topics/centralised-media-storage/centralised-media-storage-one-environment-that-keeps-its.webp",verified-unique,webp,passed
151,"Creative Asset Permissions","/permissions/creative-asset-permissions",published,permissions-multi-tenancy,"/images/topics/creative-asset-permissions/creative-asset-permissions-hero.webp","creative-asset-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",3,"/images/topics/creative-asset-permissions/creative-asset-permissions-deciding-who-can-reach-each-pa.webp; /images/topics/creative-asset-permissions/creative-asset-permissions-the-controls-that-make-access-.webp; /images/topics/creative-asset-permissions/creative-asset-permissions-a-creative-library-opened-up-t.webp",verified-unique,webp,passed
152,"Folder-Level Permissions","/permissions/folder-level-permissions",published,permissions-multi-tenancy,"/images/topics/folder-level-permissions/folder-level-permissions-hero.webp","folder-level-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/folder-level-permissions/folder-level-permissions-access-that-follows-the-folder.webp",verified-unique,webp,passed
153,"Role-Based Access Control","/permissions/role-based-access-control",framed,permissions-multi-tenancy,"/images/topics/role-based-access-control/role-based-access-control-hero.webp","role-based-access-control-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/role-based-access-control/role-based-access-control-access-that-follows-responsibi.webp",verified-unique,webp,passed
154,"Default-Deny Access","/permissions/default-deny-access",published,permissions-multi-tenancy,"/images/topics/default-deny-access/default-deny-access-hero.webp","default-deny-access-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/default-deny-access/default-deny-access-new-folders-start-closed-and-o.webp",verified-unique,webp,passed
155,"Manager Permissions","/permissions/manager-permissions",published,permissions-multi-tenancy,"/images/topics/manager-permissions/manager-permissions-hero.webp","manager-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/manager-permissions/manager-permissions-a-managers-access-drawn-around.webp; /images/topics/manager-permissions/manager-permissions-a-managers-remit-changes-durin.webp",verified-unique,webp,passed
156,"Editor Permissions","/permissions/editor-permissions",published,permissions-multi-tenancy,"/images/topics/editor-permissions/editor-permissions-hero.webp","editor-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/editor-permissions/editor-permissions-room-for-the-creative-work-wit.webp; /images/topics/editor-permissions/editor-permissions-kinds-of-creative-work-editor-.webp",verified-unique,webp,passed
157,"Individual Permissions","/permissions/individual-permissions",published,permissions-multi-tenancy,"/images/topics/individual-permissions/individual-permissions-hero.webp","individual-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/individual-permissions/individual-permissions-precise-access-for-the-person-.webp; /images/topics/individual-permissions/individual-permissions-a-freelance-photographer-joins.webp",verified-unique,webp,passed
158,"Organisation Admin Controls","/permissions/organisation-admin-controls",published,permissions-multi-tenancy,"/images/topics/organisation-admin-controls/organisation-admin-controls-hero.webp","organisation-admin-controls-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/organisation-admin-controls/organisation-admin-controls-the-people-who-look-after-the-.webp; /images/topics/organisation-admin-controls/organisation-admin-controls-what-organisation-administrato.webp",verified-unique,webp,passed
159,"Creative Access Governance","/permissions/creative-access-governance",published,permissions-multi-tenancy,"/images/topics/creative-access-governance/creative-access-governance-hero.webp","creative-access-governance-hero.webp","Illustrative photograph of separate project spaces within one organisation",3,"/images/topics/creative-access-governance/creative-access-governance-keeping-sensitive-creative-wor.webp; /images/topics/creative-access-governance/creative-access-governance-a-continuing-cycle-for-governi.webp; /images/topics/creative-access-governance/creative-access-governance-a-product-launch-reviewed-for-.webp",verified-unique,webp,passed
160,"Multi-Tenant Digital Asset Management","/permissions/multi-tenant-digital-asset-management",published,permissions-multi-tenancy,"/images/topics/multi-tenant-digital-asset-management/multi-tenant-digital-asset-management-hero.webp","multi-tenant-digital-asset-management-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/multi-tenant-digital-asset-management/multi-tenant-digital-asset-management-one-platform-several-isolated-.webp; /images/topics/multi-tenant-digital-asset-management/multi-tenant-digital-asset-management-the-parts-of-a-multi-tenant-se.webp",verified-unique,webp,passed
161,"Client Tenant Isolation","/permissions/client-tenant-isolation",published,permissions-multi-tenancy,"/images/topics/client-tenant-isolation/client-tenant-isolation-hero.webp","client-tenant-isolation-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/client-tenant-isolation/client-tenant-isolation-a-boundary-drawn-around-each-c.webp",verified-unique,webp,passed
162,"Agency Multi-Tenancy","/permissions/agency-multi-tenancy",published,permissions-multi-tenancy,"/images/topics/agency-multi-tenancy/agency-multi-tenancy-hero.webp","agency-multi-tenancy-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/agency-multi-tenancy/agency-multi-tenancy-many-client-libraries-run-as-o.webp; /images/topics/agency-multi-tenancy/agency-multi-tenancy-an-agency-brings-three-improvi.webp",verified-unique,webp,passed
163,"Per-Client Storage","/permissions/per-client-storage",published,permissions-multi-tenancy,"/images/topics/per-client-storage/per-client-storage-hero.webp","per-client-storage-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/per-client-storage/per-client-storage-storage-considered-one-client-.webp",verified-unique,webp,passed
164,"Per-Client AI Keys","/permissions/per-client-ai-keys",published,permissions-multi-tenancy,"/images/topics/per-client-ai-keys/per-client-ai-keys-hero.webp","per-client-ai-keys-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/per-client-ai-keys/per-client-ai-keys-ai-key-arrangements-for-the-cl.webp; /images/topics/per-client-ai-keys/per-client-ai-keys-a-pharmaceutical-client-asks-f.webp",verified-unique,webp,passed
165,"Per-Client Authentication","/permissions/per-client-authentication",published,permissions-multi-tenancy,"/images/topics/per-client-authentication/per-client-authentication-hero.webp","per-client-authentication-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/per-client-authentication/per-client-authentication-separate-access-controls-for-d.webp",verified-unique,webp,passed
166,"White-Label Asset Management","/permissions/white-label-asset-management",published,permissions-multi-tenancy,"/images/topics/white-label-asset-management/white-label-asset-management-hero.webp","white-label-asset-management-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/white-label-asset-management/white-label-asset-management-asset-management-presented-as-.webp",verified-unique,webp,passed
167,"Client Asset Isolation","/permissions/client-asset-isolation",published,permissions-multi-tenancy,"/images/topics/client-asset-isolation/client-asset-isolation-hero.webp","client-asset-isolation-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/client-asset-isolation/client-asset-isolation-keeping-customers-assets-out-o.webp; /images/topics/client-asset-isolation/client-asset-isolation-two-rival-launch-films-in-the-.webp",verified-unique,webp,passed
168,"Agency Asset Management","/permissions/agency-asset-management",published,permissions-multi-tenancy,"/images/topics/agency-asset-management/agency-asset-management-hero.webp","agency-asset-management-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/agency-asset-management/agency-asset-management-the-asset-work-of-an-agency-on.webp; /images/topics/agency-asset-management/agency-asset-management-asset-management-tools-applied.webp",verified-unique,webp,passed
169,"Enterprise Permissions","/permissions/enterprise-permissions",published,permissions-multi-tenancy,"/images/topics/enterprise-permissions/enterprise-permissions-hero.webp","enterprise-permissions-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/enterprise-permissions/enterprise-permissions-access-shaped-by-departments-p.webp",verified-unique,webp,passed
170,"Permission Auditing","/permissions/permission-auditing",published,permissions-multi-tenancy,"/images/topics/permission-auditing/permission-auditing-hero.webp","permission-auditing-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/permission-auditing/permission-auditing-a-record-of-how-access-has-cha.webp",verified-unique,webp,passed
171,"Access History","/permissions/access-history",published,permissions-multi-tenancy,"/images/topics/access-history/access-history-hero.webp","access-history-hero.webp","Illustrative photograph of separate project spaces within one organisation",2,"/images/topics/access-history/access-history-how-people-actually-use-the-li.webp; /images/topics/access-history/access-history-an-unreleased-product-image-ap.webp",verified-unique,webp,passed
172,"Secure Asset Sharing","/permissions/secure-asset-sharing",published,permissions-multi-tenancy,"/images/topics/secure-asset-sharing/secure-asset-sharing-hero.webp","secure-asset-sharing-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/secure-asset-sharing/secure-asset-sharing-sharing-that-follows-who-is-al.webp",verified-unique,webp,passed
173,"Folder Access Maps","/permissions/folder-access-maps",published,permissions-multi-tenancy,"/images/topics/folder-access-maps/folder-access-maps-hero.webp","folder-access-maps-hero.webp","Illustrative photograph of separate project spaces within one organisation",1,"/images/topics/folder-access-maps/folder-access-maps-a-picture-of-which-teams-rely-.webp",verified-unique,webp,passed
