pdf_page,pdf_group,pdf_topic,pdf_words,website_url,http_status,redirect_to,exists,published,indexable,in_sitemap,in_search,in_navigation,hub_linked,inbound_contextual,inbound_hub,own_pdf_text_rendered,topic_match,content_match,content_depth,structure_match,structure_elements,topic_specific_words,context_words,topic_sections_beyond_hero,max_prose_overlap,most_similar_pdf_page,duplication,hero_visual,claims,context_page,status,notes
80,61-90 Collaboration,Creative Workflow Management,15,/features/creative-workflow-management,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,60,103,2,0.408,90,no,timeline-review:comments,,,PASS,
81,61-90 Collaboration,Production Collaboration,14,/features/production-collaboration,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,14,122,0,0.405,87,no,timeline-review:timeline,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
82,61-90 Collaboration,Marketing Collaboration,15,/features/marketing-collaboration,200,,yes,published,yes,yes,yes,no,yes,6,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,15,98,0,0.564,88,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
83,61-90 Collaboration,Brand Collaboration,14,/features/brand-collaboration,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,14,130,0,0.48,88,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
84,61-90 Collaboration,Agency Collaboration,10,/features/agency-collaboration,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,10,85,0,0.476,87,no,tenant-boundaries:tenants,multi-tenant,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
85,61-90 Collaboration,Creative Team Communication,17,/features/creative-team-communication,200,,yes,published,yes,yes,yes,no,yes,6,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,17,68,0,0.454,75,no,timeline-review:comments,,,PARTIAL,THIN: topic-specific content is only the 17-word PDF paragraph in the hero; every other section is neighbouring-topic context
86,61-90 Collaboration,Asset Mentions,13,/features/asset-mentions,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,13,132,0,0.814,75,duplicate,timeline-review:comments,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context / DUPLICATE of PDF 75 /features/asset-discussion-history (prose overlap 0.814)
87,61-90 Collaboration,Collaborative Asset Review,18,/features/collaborative-asset-review,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,34,93,1,0.508,82,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
88,61-90 Collaboration,Remote Creative Collaboration,15,/features/remote-creative-collaboration,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,15,96,0,0.564,82,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
89,61-90 Collaboration,Creative Approval Management,14,/features/creative-approval-management,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,172,33,3,0.535,71,no,timeline-review:status,,,PASS,
90,61-90 Collaboration,Creative Team Workspace,16,/features/creative-team-workspace,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,16,194,0,0.48,87,no,timeline-review:comments,,,PARTIAL,THIN: topic-specific content is only the 16-word PDF paragraph in the hero; every other section is neighbouring-topic context
91,91-120 Versioning and Asset Management,Creative Asset Versioning,25,/features/creative-asset-versioning,200,,yes,published,yes,yes,yes,mega menu,yes,28,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,115,117,3,0.78,97,near-duplicate,version-record:versions,,,PARTIAL,Near-duplicate of PDF 97 /features/video-version-management (prose overlap 0.78)
92,91-120 Versioning and Asset Management,File Version History,18,/features/file-version-history,200,,yes,published,yes,yes,yes,no,yes,19,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,50,69,2,0.699,93,near-duplicate,version-record:versions,,,PARTIAL,Near-duplicate of PDF 93 /features/asset-replacement (prose overlap 0.699)
93,91-120 Versioning and Asset Management,Asset Replacement,20,/features/asset-replacement,200,,yes,published,yes,yes,yes,no,yes,20,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,59,62,2,0.699,92,near-duplicate,version-record:versions,,,PARTIAL,Near-duplicate of PDF 92 /features/file-version-history (prose overlap 0.699)
94,91-120 Versioning and Asset Management,Version Restore,16,/features/version-restore,200,,yes,published,yes,yes,yes,no,yes,22,3,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|faq|cta,16,233,0,0.541,98,no,version-record:restore,,,PARTIAL,THIN: topic-specific content is only the 16-word PDF paragraph in the hero; every other section is neighbouring-topic context
95,91-120 Versioning and Asset Management,Creative File History,12,/features/creative-file-history,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,26,43,1,0.761,99,near-duplicate,version-record:versions,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 99 /features/document-version-management (prose overlap 0.761)
96,91-120 Versioning and Asset Management,Campaign Asset Versioning,13,/features/campaign-asset-versioning,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,13,133,0,0.625,115,near-duplicate,version-record:versions,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 115 /features/asset-ownership (prose overlap 0.625)
97,91-120 Versioning and Asset Management,Video Version Management,17,/features/video-version-management,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,17,174,0,0.78,91,near-duplicate,version-record:versions,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 91 /features/creative-asset-versioning (prose overlap 0.78)
98,91-120 Versioning and Asset Management,Image Version Management,15,/features/image-version-management,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,15,172,0,0.629,97,near-duplicate,version-record:versions,,,PARTIAL,"Topic (manual): Missing term is a modifier (e.g. 'Powered', 'Advanced', 'DAM'); the PDF paragraph states the topic. / Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 97 /features/video-version-management (prose overlap 0.629)"
99,91-120 Versioning and Asset Management,Document Version Management,10,/features/document-version-management,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,10,67,0,0.761,95,near-duplicate,version-record:versions,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 95 /features/creative-file-history (prose overlap 0.761)
100,91-120 Versioning and Asset Management,Creative Revision Tracking,15,/features/creative-revision-tracking,200,,yes,published,yes,yes,yes,no,yes,19,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,30,73,1,0.636,99,near-duplicate,version-record:versions,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 99 /features/document-version-management (prose overlap 0.636)
101,91-120 Versioning and Asset Management,Asset Lifecycle Management,18,/features/asset-lifecycle-management,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,18,179,0,0.678,109,near-duplicate,version-record:lifecycle,,,PARTIAL,THIN: topic-specific content is only the 18-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 109 /features/asset-deletion (prose overlap 0.678)
102,91-120 Versioning and Asset Management,Asset Status Management,12,/features/asset-status-management,200,,yes,published,yes,yes,yes,no,yes,13,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,48,139,2,0.716,108,near-duplicate,version-record:lifecycle,,,PARTIAL,Near-duplicate of PDF 108 /features/asset-archiving (prose overlap 0.716)
103,91-120 Versioning and Asset Management,Approved Asset Library,17,/features/approved-asset-library,200,,yes,published,yes,yes,yes,mega menu,yes,21,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,122,47,3,0.439,71,no,folder-access:folders,,,PASS,
104,91-120 Versioning and Asset Management,Expiring Creative Assets,18,/features/expiring-creative-assets,200,,yes,published,yes,yes,yes,no,yes,15,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,36,108,1,0.171,101,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
105,91-120 Versioning and Asset Management,Brand Guardrail Tags,15,/features/brand-guardrail-tags,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|use-case|cta,34,169,1,0.507,71,no,folder-access:folders,,,PARTIAL,"Topic (manual): Missing term is a modifier (e.g. 'Powered', 'Advanced', 'DAM'); the PDF paragraph states the topic. / Topic developed in the hero plus at most one section; other sections are related PDF context"
106,91-120 Versioning and Asset Management,Asset Usage Tracking,14,/features/asset-usage-tracking,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,14,44,0,0.639,187,near-duplicate,library-activity:uploads,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 187 /analytics/creative-library-trends (prose overlap 0.639)
107,91-120 Versioning and Asset Management,Creative Asset Lifecycle,17,/features/creative-asset-lifecycle,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,17,155,0,0.232,109,no,version-record:lifecycle,,,PARTIAL,THIN: topic-specific content is only the 17-word PDF paragraph in the hero; every other section is neighbouring-topic context
108,91-120 Versioning and Asset Management,Asset Archiving,18,/features/asset-archiving,200,,yes,published,yes,yes,yes,no,yes,20,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,36,157,2,0.716,102,near-duplicate,version-record:lifecycle,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 102 /features/asset-status-management (prose overlap 0.716)
109,91-120 Versioning and Asset Management,Asset Deletion,11,/features/asset-deletion,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,22,164,1,0.703,102,near-duplicate,version-record:lifecycle,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 102 /features/asset-status-management (prose overlap 0.703)
110,91-120 Versioning and Asset Management,Asset Recovery,13,/features/asset-recovery,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,13,195,0,0.586,98,no,version-record:restore,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context
111,91-120 Versioning and Asset Management,Creative Library Maintenance,15,/features/creative-library-maintenance,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,15,187,0,0.658,113,near-duplicate,media-library,,,PARTIAL,THIN: topic-specific content is only the 15-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 113 /features/asset-quality-management (prose overlap 0.658)
112,91-120 Versioning and Asset Management,Duplicate Asset Management,11,/features/duplicate-asset-management,200,,yes,published,yes,yes,yes,no,yes,3,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,39,183,1,0.355,40,no,media-library,duplicate-detection,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
113,91-120 Versioning and Asset Management,Asset Quality Management,11,/features/asset-quality-management,200,,yes,published,yes,yes,yes,no,yes,3,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,11,173,0,0.674,109,near-duplicate,media-library,,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 109 /features/asset-deletion (prose overlap 0.674)
114,91-120 Versioning and Asset Management,Creative Asset Governance,11,/features/creative-asset-governance,200,,yes,published,yes,yes,yes,no,yes,11,3,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,11,87,0,0.405,159,no,folder-access:folders,,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context
115,91-120 Versioning and Asset Management,Asset Ownership,10,/features/asset-ownership,200,,yes,published,yes,yes,yes,no,yes,13,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,10,142,0,0.625,96,near-duplicate,version-record:audit,,,PARTIAL,THIN: topic-specific content is only the 10-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 96 /features/campaign-asset-versioning (prose overlap 0.625)
116,91-120 Versioning and Asset Management,Asset Attribution,14,/features/asset-attribution,200,,yes,published,yes,yes,yes,no,yes,15,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,14,87,0,0.678,118,near-duplicate,version-record:audit,,,PARTIAL,THIN: topic-specific content is only the 14-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 118 /features/asset-activity (prose overlap 0.678)
117,91-120 Versioning and Asset Management,Asset History,11,/features/asset-history,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,73,53,2,0.706,119,near-duplicate,version-record:audit,,,PARTIAL,Near-duplicate of PDF 119 /features/asset-audit-trail (prose overlap 0.706)
118,91-120 Versioning and Asset Management,Asset Activity,13,/features/asset-activity,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,28,72,1,0.678,116,near-duplicate,version-record:audit,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 116 /features/asset-attribution (prose overlap 0.678)
119,91-120 Versioning and Asset Management,Asset Audit Trail,13,/features/asset-audit-trail,200,,yes,published,yes,yes,yes,mega menu,yes,14,3,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,13,116,0,0.706,117,near-duplicate,version-record:audit,,,PARTIAL,THIN: topic-specific content is only the 13-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 117 /features/asset-history (prose overlap 0.706)
120,91-120 Versioning and Asset Management,Complete Asset Management,16,/features/complete-asset-management,200,,yes,published,yes,yes,yes,no,yes,6,3,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|faq|cta,16,253,0,0.498,381,no,version-record:lifecycle,,,PARTIAL,Topic (manual): PDF 120 lists everything combined into one asset-management workflow: 'complete' is conveyed. / THIN: topic-specific content is only the 16-word PDF paragraph in the hero; every other section is neighbouring-topic context
121,121-150 Storage and Ingestion,Automated Asset Ingestion,28,/storage/automated-asset-ingestion,200,,yes,published,yes,yes,yes,mega menu,yes,31,4,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,39,110,1,0.576,128,no,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
122,121-150 Storage and Ingestion,Google Drive Integration,27,/storage/google-drive,307,/storage/centralised-media-storage,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,storage-sources,/storage/centralised-media-storage,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/centralised-media-storage until claim(s) storage-sources are client-confirmed
123,121-150 Storage and Ingestion,Dropbox Integration,14,/storage/dropbox,307,/storage/centralised-media-storage,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,storage-sources,/storage/centralised-media-storage,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/centralised-media-storage until claim(s) storage-sources are client-confirmed
124,121-150 Storage and Ingestion,OneDrive Integration,16,/storage/onedrive,307,/storage/centralised-media-storage,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,storage-sources,/storage/centralised-media-storage,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/centralised-media-storage until claim(s) storage-sources are client-confirmed
125,121-150 Storage and Ingestion,AWS S3 Integration,19,/storage/aws-s3,307,/storage/centralised-media-storage,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,storage-sources,/storage/centralised-media-storage,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/centralised-media-storage until claim(s) storage-sources are client-confirmed
126,121-150 Storage and Ingestion,Local NAS Integration,18,/storage/local-nas,307,/storage/centralised-media-storage,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,storage-sources,/storage/centralised-media-storage,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/centralised-media-storage until claim(s) storage-sources are client-confirmed
127,121-150 Storage and Ingestion,Drag and Drop Upload,23,/storage/drag-and-drop-upload,200,,yes,published,yes,yes,yes,no,yes,20,3,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,23,120,0,0.385,135,no,ingest-pipeline:upload,,,PARTIAL,THIN: topic-specific content is only the 23-word PDF paragraph in the hero; every other section is neighbouring-topic context
128,121-150 Storage and Ingestion,Watch Folder Ingestion,17,/storage/watch-folder-ingestion,200,,yes,published,yes,yes,yes,mega menu,yes,5,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,17,138,0,0.576,121,no,ingest-pipeline:upload,watch-folders,,PARTIAL,THIN: topic-specific content is only the 17-word PDF paragraph in the hero; every other section is neighbouring-topic context
129,121-150 Storage and Ingestion,Automated Media Import,11,/storage/automated-media-import,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,11,143,0,0.36,128,no,ingest-pipeline:upload,,,PARTIAL,THIN: topic-specific content is only the 11-word PDF paragraph in the hero; every other section is neighbouring-topic context
130,121-150 Storage and Ingestion,Bulk Asset Import,15,/storage/bulk-asset-import,200,,yes,published,yes,yes,yes,no,yes,5,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,30,80,1,0.415,128,no,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
131,121-150 Storage and Ingestion,Large Library Migration,14,/storage/large-library-migration,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|workflow|cta,14,10,0,0.767,289,near-duplicate,migration-map,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 289 /migration/dam-migration-strategy (prose overlap 0.767)
132,121-150 Storage and Ingestion,Metadata Preservation,16,/storage/metadata-preservation,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,16,25,0,0.299,286,no,migration-map:metadata,metadata-preserved,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
133,121-150 Storage and Ingestion,Folder Mapping,18,/storage/folder-mapping,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,18,90,0,0.518,287,no,migration-map:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
134,121-150 Storage and Ingestion,Creative Migration,13,/storage/creative-migration,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|cta,45,54,2,0.289,376,no,migration-map,,,PASS,
135,121-150 Storage and Ingestion,Digital Asset Import,17,/storage/digital-asset-import,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,43,141,1,0.385,127,no,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
136,121-150 Storage and Ingestion,Media Upload Management,12,/storage/media-upload-management,200,,yes,published,yes,yes,yes,no,yes,11,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,12,35,0,0.775,142,near-duplicate,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 142 /storage/parallel-uploads (prose overlap 0.775)
137,121-150 Storage and Ingestion,Resumable Uploads,17,/storage/resumable-uploads,200,,yes,published,yes,yes,yes,mega menu,yes,14,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,34,0,1,0.446,141,no,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
138,121-150 Storage and Ingestion,Chunked Uploads,12,/storage/chunked-uploads,200,,yes,published,yes,yes,yes,no,yes,15,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,37,30,2,0.782,142,near-duplicate,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 142 /storage/parallel-uploads (prose overlap 0.782)
139,121-150 Storage and Ingestion,High-Volume Media Uploads,19,/storage/high-volume-media-uploads,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,19,127,0,0.642,141,near-duplicate,ingest-pipeline:upload,,,PARTIAL,THIN: topic-specific content is only the 19-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 141 /storage/upload-progress (prose overlap 0.642)
140,121-150 Storage and Ingestion,10 GB File Uploads,19,/storage/10-gb-file-uploads,307,/storage/media-upload-management,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,upload-10gb,/storage/media-upload-management,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /storage/media-upload-management until claim(s) upload-10gb are client-confirmed
141,121-150 Storage and Ingestion,Upload Progress,14,/storage/upload-progress,200,,yes,published,yes,yes,yes,no,yes,10,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,26,0,1,0.642,139,near-duplicate,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 139 /storage/high-volume-media-uploads (prose overlap 0.642)
142,121-150 Storage and Ingestion,Parallel Uploads,11,/storage/parallel-uploads,200,,yes,published,yes,yes,yes,no,yes,12,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,22,30,1,0.782,138,near-duplicate,ingest-pipeline:upload,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 138 /storage/chunked-uploads (prose overlap 0.782)
143,121-150 Storage and Ingestion,Asset Processing,16,/storage/asset-processing,200,,yes,published,yes,yes,yes,no,yes,40,4,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,82,103,3,0.334,130,no,ingest-pipeline:processing,,,PASS,
144,121-150 Storage and Ingestion,AI Processing Queue,17,/storage/ai-processing-queue,200,,yes,published,yes,yes,yes,no,yes,3,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,33,41,1,0.28,141,no,ingest-pipeline:processing,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
145,121-150 Storage and Ingestion,Media Processing Status,20,/storage/media-processing-status,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,20,147,0,0.538,142,no,ingest-pipeline:processing,,,PARTIAL,THIN: topic-specific content is only the 20-word PDF paragraph in the hero; every other section is neighbouring-topic context
146,121-150 Storage and Ingestion,Asset Thumbnail Generation,13,/storage/asset-thumbnail-generation,200,,yes,published,yes,yes,yes,no,yes,8,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,29,142,1,0.379,145,no,ingest-pipeline:preview,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
147,121-150 Storage and Ingestion,Streaming Media Preview,14,/storage/streaming-media-preview,200,,yes,published,yes,yes,yes,mega menu,yes,34,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,41,107,3,0.377,130,no,ingest-pipeline:preview,,,PASS,
148,121-150 Storage and Ingestion,Creative Storage Management,16,/storage/creative-storage-management,200,,yes,published,yes,yes,yes,no,yes,5,1,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,55,54,1,0.277,134,no,library-activity:storage,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
149,121-150 Storage and Ingestion,Storage Growth Analytics,14,/storage/storage-growth-analytics,200,,yes,published,yes,yes,yes,no,yes,4,1,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,63,22,2,0.608,187,near-duplicate,library-activity:storage,,,PARTIAL,Near-duplicate of PDF 187 /analytics/creative-library-trends (prose overlap 0.608)
150,121-150 Storage and Ingestion,Centralised Media Storage,20,/storage/centralised-media-storage,200,,yes,published,yes,yes,yes,no,yes,22,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,48,122,1,0.304,392,no,connector-flow,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
151,151-180 Permissions and Multi-Tenancy,Creative Asset Permissions,17,/permissions/creative-asset-permissions,200,,yes,published,yes,yes,yes,no,yes,33,4,yes,PASS,PARTIAL,introduced,PARTIAL,hero|introduction|features|cta,48,109,1,0.429,153,no,folder-access:folders,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
152,151-180 Permissions and Multi-Tenancy,Folder-Level Permissions,15,/permissions/folder-level-permissions,200,,yes,published,yes,yes,yes,mega menu,yes,33,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,44,82,2,0.635,159,near-duplicate,folder-access:folders,,,PARTIAL,Near-duplicate of PDF 159 /permissions/creative-access-governance (prose overlap 0.635)
153,151-180 Permissions and Multi-Tenancy,Role-Based Access Control,16,/permissions/role-based-access-control,200,,yes,framed,yes,yes,yes,no,yes,15,2,no,PARTIAL,PARTIAL,withheld,FAIL,hero|features|cta,0,24,0,0.561,157,no,folder-access:folders,rbac-roles,/permissions/creative-asset-permissions,PARTIAL,"Topic (manual): Access matrix (admins, managers, editors, individuals, folders) conveys role-based access; named built-in roles withheld. / Framed: own PDF paragraph withheld (claims: rbac-roles); verified context from PDF 151"
154,151-180 Permissions and Multi-Tenancy,Default-Deny Access,21,/permissions/default-deny-access,200,,yes,published,yes,yes,yes,mega menu,yes,24,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,31,87,1,0.555,159,no,folder-access:private,default-deny,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
